Author	Year	Title	keywords	abstract
"McCard, M"	2021	Pushing the switch: functional responses and prey switching by invasive lionfish may mediate their ecological impact	Frequency-dependent predation; Interaction strength; Invader impact prediction; Marine biology; Pterois volitans	"Biodiversity is declining on a global scale and the spread of invasive alien species (IAS) is a major driver, particularly through predatory impacts. Thus, effective means of assessing and predicting the consequences of IAS predation on native prey population stability remains a vital goal for conservation. Here, we applied two classic ecological concepts, consumer functional response (FR) and prey switching, to predict and understand the ecological impacts of juveniles of the lionfish (Pterois volitans), a notorious and widespread marine invader. Functional responses and prey switching propensities were quantified towards three representative prey species: Artemia salina, Palaemonetes varians, and Gammarus oceanicus. Lionfish exhibited potentially destabilising Type II FRs towards individual prey species, owing to high consumption rates at low prey densities, whilst FR magnitudes differed among prey species. Functional response attack rates (a) were highest, and handling times (h) lowest, towards A. salina, followed by P. varians and then G. oceanicus. Maximum feeding rates (1/h) and functional response ratios (FRR; a/h) also followed this impact gradient for the three prey species. Lionfish, however, displayed a potentially population stabilising prey switching propensity (i.e. frequency-dependent predation) when multiple prey species were presented simultaneously, where disproportionately less of rare prey, and more of abundant prey, were consumed. Whilst FR and FRR magnitudes indicate marked per capita lionfish predatory impacts towards prey species, a strong prey switching propensity may reduce in-field impacts by offering low density prey refuge in biodiverse communities. Our results thus corroborate field patterns documenting variable impacts of lionfish, with prey extirpations less likely in diverse communities owing to frequency-dependent predation."
"Metz, MC"	2012	Seasonal patterns of predation for gray wolves in the multi-prey system of Yellowstone National Park	"additive predation, compensatory predation, GPS collar, kill rate, marrow fat, neonate predation, predator–prey, summer predation"	"1. For large predators living in seasonal environments, patterns of predation are likely to vary among seasons because of related changes in prey vulnerability. Variation in prey vulnerability underlies the influence of predators on prey populations and the response of predators to seasonal variation in rates of biomass acquisition. Despite its importance, seasonal variation in predation is poorly understood. 2. We assessed seasonal variation in prey composition and kill rate for wolves Canis lupus living on the Northern Range (NR) of Yellowstone National Park. Our assessment was based on data collected over 14 winters (1995–2009) and five spring–summers between 2004 and 2009. 3. The species composition of wolf-killed prey and the age and sex composition of wolf-killed elk Cervus elaphus (the primary prey for NR wolves) varied among seasons. 4. One’s understanding of predation depends critically on the metric used to quantify kill rate. For example, kill rate was greatest in summer when quantified as the number of ungulates acquired per wolf per day, and least during summer when kill rate was quantified as the biomass acquired per wolf per day. This finding contradicts previous research that suggests that rates of biomass acquisition for large terrestrial carnivores tend not to vary among seasons. 5. Kill rates were not well correlated among seasons. For example, knowing that early-winter kill rate is higher than average (compared with other early winters) provides little basis for anticipating whether kill rates a few months later during late winter will be higher or lower than average (compared with other late winters). This observation indicates how observing, for example, higherthan-average kill rates throughout any particular season is an unreliable basis for inferring that the year-round average kill rate would be higher than average. 6. Our work shows how a large carnivore living in a seasonal environment displays marked seasonal variation in predation because of changes in prey vulnerability. Patterns of wolf predation were influenced by the nutritional condition of adult elk and the availability of smaller prey (i.e. elk calves, deer). We discuss how these patterns affect our overall understanding of predator and prey population dynamics."
"Murdoch, WW"	1969	Switching in General Predators: Experiments on Predator Specificity and Stability of Prey Populations		"Switching' in predators which attack several prey species potentially can stabilize the numbers in prey populations. In switching, the number of attacks upon a species is disproportionately large when the species is abundant relative to other prey, and disproportionately small when the species is relatively rare. The null case for two prey species can be written: P""1/P""2 = cN""1/N""2, where P""1/P""2 is the ratio of the two prey expected in the diet, N""1/N""2 is the ratio given and c is a proportionality constant. Predators were sea-shore snails and prey were mussels and barnacles. Experiments in the laboratory modelled aspects of various natural situations. When the predator had a strong preference (c) between prey the data and the 'null case' model were in good agreement. Preference could not altered by subjecting predators to training regimens. When preference was weak the data did not fit the model replicates were variable. Predators could be trained easily to one or other prey species. From a number of experiments it was concluded that in the weak-preference case no switch would occur in nature except where there is an opportunity for predators to become trained to the abundant species. A patchy distribution of the abundant prey could provide this opportunity. Given one prey species, snails caused a decreasing percentage mortality as prey numbers increased. This occurred also with 2 prey species present when preference was strong. When preference was weak the form of the response was unclear. When switching occurred the percentage prey mortality increased with prey density, giving potentially stabilizing mortality. The consequences of these conclusions for prey population regulation and for diversity are discussed."
"Murdoch, WW"	1975	Switching in Predatory Fish	Density dependence; feeding; fish; populations; predation; prey; stability; switching	"Guppies (Poecilia ieticulatus) were given two prey: Drosoplhila (on the water surface) and tubificid worms (on the aquarium bottom). The densities of the two prey were varied gradually over 12 days, from 4:1 to 1:4, and we measured the predators' diets, time of each meal, and time spent at the top, middle, and bottom of the aquarium. The guppies switched, attacking disproportionately whichever of the two prey was more abundant. Switching resulted when the fish increased the fraction of time spent at the surface as the fraction of Drosoplhila available increased. They did this in response to changing reward rates. Switching caused density-dependent mortality. Differences between two groups of fish show that switching behavior is more efficient and should be selected for. The result confirms previous generalizations about switching."
"Ostfeld, RS"	1982	Foraging strategies and prey switching in the California sea otter	Dietary items; poor success rate; electivity index; prey switching; profitable prey	"Southern sea otters (Enhydra lutris nereis), in recovering from near extinction, are gradually extending their range to include areas from which they have been absent for more than one hundred years. This study took advantage of the otters' relatively sudden arrival in the area near Santa Cruz, California, to monitor their prey selection in the first two years of residence there. Foraging observations revealed that sea urchins (Strongly-locentrotus franciscanus) were heavily preyed upon initially, but virtually disappeared from the diet after one year of sea otter residence. The disappearance of sea urchins was accompanied by an increased use of kelp crabs (Pugettia producta) and the appearance of clams (Gari californica) in the otters' diet. Abalones (Haliotis rufescens) and cancer crabs (Cancer spp.) remained fairly stable as dietary items throughout the two year period. An electivity index was used to quantify sea otter preferences, which corresponded closely with a ranking scheme based on energy intake/unit foraging time calculated for each major prey species. As predicted by optimal foraging theory, sea otters prefer food species of high rank and replace depleted dietary items with those of next highest rank. The process of dietary switching was analyzed with respect to foraging success rates, and it appears that poor success rates, associated with predation on an increasingly rarer prey species (sea urchins), drive sea otters to hunt for different prey. Both patch selection and search image formation appear to function in this process. The potential effects on community structure and stability of predators exhibiting a preference for the most profitable prey are discussed."
"Paine, RT"	1969	"The Pisaster-Tegula Interaction: Prey Patches, Predator Food Preference, and Intertidal Community Structure"		"The herbivorous gastropod Tegula ifunebralis is not highly ranked in a food preference hierarchy of its major- predator, the starfish Pisaster ochraceus, and exhibits a persistent broad overlap with it in the rocky intertidal zone at Mukkaw Bay, Washington. Observations on Tegula over a 5-yr period indicate that it settles high intertidally, lives there for 5-6 yr, and then tends to migrate lower into contact with Pisaster. Tegula lays down an annual growth line permitting it to be aged and a growth curve constructed. Analysis of relative growth and reproduction indicates that beyond a certain size (16 mm) large individuals perform less well in the upper than those in the lower intertidal zone. Pisaster consumes 25-28% of the adult Tegula per year in the area of spatial overlap, based on analysis of the age structure of 6-17 yr old Tegula, and by direct estimates of the percentage of the standing crop consumed annually. The relationship between Pisaster and sex ratio, relative energy limitation and reproductive output (fitness) of Tegula is discussed for three subpopulations. It is suggested that the implied results of the interaction is typical of that between a major predator and one of its less preferred prey. The prominent zonation exhibited by preferred prey, the observed intimacy of association of predator and less preferred prey, and the zoogeographic homogeneity of the Pacific rocky coastline community are discussed in relation to three intermeshing ecological processes."
"Randa, LA"	2009	Prey Switching of Sympatric Canids in Response to Variable Prey Abundance	"Canis latrans, competition avoidance, coyote, Illinois, log-linear analysis, prey selection, prey switching, red fox, Vulpes vulpes"	"We investigated the effects of fluctuating prey numbers on the foraging strategies and potential mechanisms for coexistence of 2 sympatric predators, coyotes (Canis latrans) and red foxes (Vulpes vulpes), in a heterogeneous environment in northeastern Illinois. We quantified the availability of mammalian and avian prey across different habitats, analyzed scats collected along standardized routes for occurrence of prey items, and estimated the number and biomass of vertebrate prey consumed. Abundances of the most frequently consumed prey (voles, rabbits, and mice) differed significantly over time, especially in relation to an ice storm that occurred during the study. Coyotes and red foxes tended to select voles and rabbits in number, rabbits in biomass, and incorporated greater numbers and biomass of other prey such as deer, pheasants, and sciurids after the ice storm. Log-linear analyses indicated that both coyotes and red foxes exhibited switching behavior, with differential shifts among the number and biomass of alternative prey they consumed. Hence, foraging strategies of coyotes and red foxes appeared to be a combination of prey selectivity and switching behavior. Our study suggests that competition between coyotes and red foxes for similar primary prey species and limited environments to exploit at the urban–rural interface may contribute to displacement of red foxes by coyotes."
"Silva, SI"	1995	Numerical and functional response of burrowing owls to long-term mammal fluctuations in Chile	burrowing owl; Chile; functional response; mammal fluctuation; numerical response; speotyto cunnicularia	"Most studies to date indicate that the burrowing owl (Speotyto cunicularia) is a generalist species that eats variable combinations of vertebrates and invertebrates, mainly small mammals and insects. These combinations vary through time, and thus the burrowing owl has been labeled a seasonally opportunist species. However, because of the numerically higher incidenceof insects in its diet, this species has been ascribed to insectivorous trophic guilds. We found that burrowing owls in mediterranean Chile: (1) consistently consumed more invertebrates than vertebrates but the biomass contribution of these two categories was the reverse, (2) co-varied in number of resident individuals with the density of small mammals in the field, (3) decreased the castingof pellets with insects as mammal densities increased, and (4) increased the frequency of mammals in the diet as the latter increased in the field. We propose that Chilean burrowing owls displayed both numerical and functional responses to the abundance of local small mammals, thus suggesting that they depended more heavily on this prey type than on insects. Perhaps Chilean burrowing owls should be classified trophically as carnivorous instead of as insectivorous predators."
"Tallian, A"	2017	Predator foraging response to a resurgent dangerous prey	antipredator behaviour; bison; dangerous prey; elk; frequency-dependent predation; prey switching; prey vulnerability; scavenging; wolves; Yellowstone National Park	"Prey switching occurs when a generalist predator kills disproportionately more of an abundant prey species and correspondingly spares a rarer species. Although this behaviour is a classic stabilizing mechanism in food web models, little is known about its operation in free-living systems which often include dangerous prey species that resist predation. We used long-term (1995–2015) data from a large mammal system in northern Yellowstone National Park, USA, to understand how prey preference of a wild, generalist predator (Canis lupus) responds to a shift in prey species evenness involving rising numbers of dangerous prey (Bison bison) and dropping numbers of relatively safer prey (Cervus elaphus). Contrary to the prey switching hypothesis, wolves attacked and killed disproportionately more of the rarer, but safer, species. Wolves maintained a strong preference against bison even when this species was nearly twice as abundant as elk. [Correction added after online publication on 26 April 2017: ‘more than’ changed to ‘nearly’]. There was also evidence that wolves were increasingly averse to hunting bison as relative bison abundance increased. Wolves seldom hunted bison because capture success was limited to a narrow set of conditions: larger packs (>11 wolves) chasing smaller herds (10–20 bison) with calves. Wolves scavenged bison carrion instead and did so more frequently as bison abundance increased. Our study demonstrates the overarching importance of prey vulnerability to understanding the prey preferences of generalist predators in ecological communities with dangerous prey. The formidable defences of such prey diminish the potential for switching and its stabilizing influence on population dynamics. In these communities, shifts from hunting to scavenging are perhaps more likely than shifts in prey preference. The assumption of switching may therefore overestimate the stability of multi-prey systems that include dangerous prey species. A lay summary is available for this article."
"Toscano, BJ"	2010	Multiple prey effects: Agonistic behaviors between prey species enhances consumption by their shared predator	Apparent competition; interference competition; multiple predator effects (MPEs); predator-prey; refuge space; trait-mediated indirect interactions (TMIIs)	"Multiple prey species may affect consumption by their shared predator in a non-additive fashion which cannot be predicted by summing pairwise predator–prey interactions within food webs. By manipulating prey species richness and identity in experimental mesocosms, we sought to explore the effects of interspecific prey interactions between pinfish Lagodon rhomboides and pigfish Orthopristis chrysoptera,andbetweenbluecrabs Callinectes sapidus and common mud crabs Panopeus herbstii on the consumption rates of a shared predator species, gulf toadfish Opsanus beta. We also determined the effects of these interactions on the survivorship of the prey species as mediated by the predator. In both fish and crab prey trials, interspecific interactions between multiple prey increased the overall consumption rate of O. beta, and in each case, one prey species was harmed (decreased survivorship) while the other prey species was not significantly affected by these interactions (all relative to single-prey treatments). In trials run with fish prey, behavioral observations revealed that L. rhomboides aggressively chased O. chrysoptera out of a seagrass refuge and into a surrounding sand matrix where O. beta foraged, thus increasing O. chrysoptera vulnerability to predation. In trials run with crab prey, C. sapidus failed to reduce their activity in the presence of O. beta.Inaddition,P. herbstii displaced C. sapidus from the seagrass refuge in mixed prey treatments, and so these conspicuous behaviors primarily occurred in the unstructured sand habitat where C. sapidus were more vulnerable to predation. We conclude that multiple prey effects, including those involving risk-enhancing, agonistic interactions between prey, can be important determinants of predator–prey outcomes. This may be especially true when refuge space is limited."
"Wade, PR"	2007	Killer Whales and Marine Mammal Trends in the North Pacific—a Re-Examination of Evidence for Sequential Megafauna Collapse and the Prey-Switching Hypothesis	"North Pacific, killer whale, Steller sea lion, sea otter, harbor seal, fur seal, ecosystem, predation, whaling, population dynamics"	"Springer et al. (2003) contend that sequential declines occurred in North Pacific populations of harbor and fur seals, Steller sea lions, and sea otters. They hypothesize that these were due to increased predation by killer whales, when industrial whaling’s removal of large whales as a supposed primary food source precipitated a prey switch. Using a regional approach, we reexamined whale catch data, killer whale predation observations, and the current biomass and trends of potential prey, and found little support for the prey-switching hypothesis. Large whale biomass in the Bering Sea did not decline as much as suggested by Springer et al., and much of the reduction occurred 50–100 yr ago, well before the declines of pinnipeds and sea otters began; thus, the need to switch prey starting in the 1970s is doubtful. With the sole exception that the sea otter decline followed the decline of pinnipeds, the reported declines were not in fact sequential. Given this, it is unlikely that a sequential megafaunal collapse from whales to sea otters occurred. The spatial and temporal patterns of pinniped and sea otter population trends are more complex than Springer et al. suggest, and are often inconsistent with their hypothesis. Populations remained stable or increased in many areas, despite extensive historical whaling and high killer whale abundance. Furthermore, observed killer whale predation has largely involved pinnipeds and small cetaceans; there is little evidence that large whales were ever a major prey item in high latitudes. Small cetaceans (ignored by Springer et al.) were likely abundant throughout the period. Overall, we suggest that the Springer et al. hypothesis represents a misleading and simplistic view of events and trophic relationships within this complex marine ecosystem."
"Wells, BK"	2017	Environmental conditions and prey-switching by a seabird predator impact juvenile salmon survival	California Current; Chinook salmon; Common murre; Ecosystems; Forage fish; Inland water environment	"Due to spatio-temporal variability of lower trophic-level productivity along the California Current Ecosystem (CCE), predators must be capable of switching prey or foraging areas in response to changes in environmental conditions and available forage. The Gulf of the Farallones in central California represents a biodiversity hotspot and contains the largest common murre (Uria aalge) colonies along the CCE. During spring, one of the West Coast's most important Chinook salmon (Oncorhynchus tshawytscha) populations out-migrates into the Gulf of the Farallones. We quantify the effect of predation on juvenile Chinook salmon associated with ecosystemlevel variability by integrating long-term time series of environmental conditions (upwelling, river discharge), forage species abundance within central CCE, and population size, at-sea distribution, and diet of the common murre. Our results demonstrate common murres typically forage in the vicinity of their offshore breeding sites, but in years in which their primary prey, pelagic young-of-year rockfish (Sebastes spp.), are less available they forage for adult northern anchovies (Engraulis mordax) nearshore. Incidentally, while foraging inshore, common murre consumption of out-migrating juvenile Chinook salmon, which are collocated with northern anchovy, increases and population survival of the salmon is significantly reduced. Results support earlier findings that show timing and strength of upwelling, and the resultant forage fish assemblage, is related to Chinook salmon recruitment variability in the CCE, but we extend those results by demonstrating the significance of top-down impacts associated with these bottom-up dynamics. Our results demonstrate the complexity of ecosystem interactions and impacts between higher trophic-level predators and their prey, complexities necessary to quantify in order to parameterize ecosystem models and evaluate likely outcomes of ecosystem management options."
