Notes,Paper_ID,Study_Area,Area,Pack_Name,Territory_size,Days_Obs,Days_Missed,Avg_Pack_Size,Pack_Size_Range,Wolf_Pack_Notes,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Prop_Ind_Avail,Ratio_Prey_Wolf,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,BM_Avail,Prop_BM_Avail,n_Kills_Tot,n_Kills_Prey,Prop_Kills,Mass_Prey_Tot_Kills,Perc_Consumable,Edible_Mass,BM_Consumed,Kg_Wolf_Day,Kg_Kg_Wolf_Day,Prop_BM_Consumed ,Err_Prop_BM_Consumed,Days_At_Kill,n_Days_At_Kill,Days_Between_Kills,n_Days_Between_Kills,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Study_Code,Area_Code,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Pop_Scale
,Ballard 1997,Northwest Alaska,12280,Ingruksukruk,1252,21,2,4,1-9,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 4.2 days,Moose,Alces alces,Alces alces,,,,,,,481,,,5,4,0.8,,,,,,,,,1.7,3,1.7,3,Wild,,,,BAD97NWA,NWA,"1989, 11 March-1 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,1745,24,1,13,9-15,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 4.0 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,6,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1989, 12 March-5 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,1745,24,1,13,9-15,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 4.0 days,Moose,Alces alces,Alces alces,,,,,,,481,,,6,6,1,,,,,,,,,1.6,2.5,1.6,2.5,Wild,,,,BAD97NWA,NWA,"1989, 12 March-5 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Purcell Mt.,626,21,0,13,9-14,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.5 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,6,1,0.1666666667,,,,,,,,,1,2,1,2,Wild,,,,BAD97NWA,NWA,"1989, 11 March-1 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Purcell Mt.,626,21,0,13,9-14,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.5 days,Moose,Alces alces,Alces alces,,,,,,,481,,,6,5,0.8333333333,,,,,,,,,2.25,1.5,2.25,1.5,Wild,,,,BAD97NWA,NWA,"1989, 11 March-1 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Rabbit Mt.,2306,25,1,2,1-2,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 12.5 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,2,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1989, 11 March-5 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Rabbit Mt.,2306,25,1,2,1-2,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 12.5 days,Moose,Alces alces,Alces alces,,,,,,,481,,,2,2,1,,,,,,,,,6,1,6,1,Wild,,,,BAD97NWA,NWA,"1989, 11 March-5 April",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Dunes,425,6,1,5,1-5,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.0 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,2,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1990, March 21-27",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Dunes,425,6,1,5,1-5,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.0 days,Moose,Alces alces,Alces alces,,,,,,,481,,,2,2,1,,,,,,,,,1,1,1,1,Wild,,,,BAD97NWA,NWA,"1990, March 21-27",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Dunes,425,16,3,5,2-5,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.2 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,5,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1990, April 6-22",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Dunes,425,16,3,5,2-5,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 3.2 days,Moose,Alces alces,Alces alces,,,,,,,481,,,5,5,1,,,,,,,,,1.166666667,1.333333333,1.166666667,1.333333333,Wild,,,,BAD97NWA,NWA,"1990, April 6-22",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Ingruksukruk,1316,12,2,4,3-6,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 4.0 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,3,3,1,,,,,,,,,1,1,1,1,Wild,,,,BAD97NWA,NWA,"1990, April 8-20",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Ingruksukruk,1316,12,2,4,3-6,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 4.0 days,Moose,Alces alces,Alces alces,,,,,,,481,,,3,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1990, April 8-20",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,2677,6,0,23,23-24,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 6.0 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,1,0,0,,,,,,,,,NA,NA,NA,NA,Wild,,,,BAD97NWA,NWA,"1990, March 23-27",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,2677,6,0,23,23-24,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 6.0 days,Moose,Alces alces,Alces alces,,,,,,,481,,,1,1,1,,,,,,,,,NR,NR,NR,NR,Wild,,,,BAD97NWA,NWA,"1990, March 23-27",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,2677,13,1,19,15-23,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 2.2 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,6,1,0.1666666667,,,,,,,,,1,1,1,1,Wild,,,,BAD97NWA,NWA,"1990, April 5-19",SWI,,,,,,,PACK
,Ballard 1997,Northwest Alaska,12280,Nuna Creek,2677,13,1,19,15-23,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 2.2 days,Moose,Alces alces,Alces alces,,,,,,,481,,,6,5,0.8333333333,,,,,,,,,1.15,2.5,1.15,2.5,Wild,,,,BAD97NWA,NWA,"1990, April 5-19",SWI,,,,,,,PACK
"1 adult female and 1 calf killed together, 1 day spent at kills",Ballard 1997,Northwest Alaska,12280,Purcell Mt.,1782,14,1,11,5-13,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 1.2 days,Caribou,Rangifer tarandus granti,Rangifer tarandus,,,,,,,108,,,12,10,0.8333333333,,,,,,,,,1.5,1,1.5,1,Wild,,,,BAD97NWA,NWA,"1990, April 6-20",SWI,,,,,,,PACK
Not reported but all other instances of moose calf handling time was 1 day wether the pack had 5 wolves or 19 wolves,Ballard 1997,Northwest Alaska,12280,Purcell Mt.,1782,14,1,11,5-13,Average wolf mass of all wolves collared for study was 43.35kg. Time interval between ungulate kills for the pack was 1.2 days,Moose,Alces alces,Alces alces,,,,,,,481,,,12,2,0.1666666667,,,,,,,,,1,1,1,1,Wild,,,,BAD97NWA,NWA,"1990, April 6-20",SWI,,,,,,,PACK
,Carbyn 1983,Riding Mountain,268,Audy Lake,268,,,5,3-5,"2 adults, 2 young of year, and a pup. next year was 2 adults and a pup",Elk,Cervus elaphus,Cervus elaphus,372,,124:1,,,Author cites nothing and does not outright say the masses but does say that the edible weight (75% of live) of 5 elk carcasses together is 854kg,240,,,14,8,,,75,,,,,,,,,,,Wild,,,,CAN83RDM-A,RDM-A,1978 Winter (1 Jan-4 Apr 1978),SWI,,,,,,,PACK
,Carbyn 1983,Riding Mountain,268,Audy Lake,268,,,5,3-5,"2 adults, 2 young of year, and a pup. next year was 2 adults and a pup",Moose,Alces alces,Alces alces,164,,55:1,,,Author cites nothing and does not outright say the masses but does say that the edible weight (75% of live) of 2 moose carcasses together is 407kg,481,,,14,0,,,75,,,,,,,,,,,Wild,,,,CAN83RDM-A,RDM-A,1978 Winter (1 Jan-4 Apr 1978),SWI,,,,,,,PACK
,Carbyn 1983,Riding Mountain,268,Audy Lake,268,,,5,3-5,"2 adults, 2 young of year, and a pup. next year was 2 adults and a pup",Deer,Odocoileus,Odocoileus,120,,40:1,,,,79.4,,,14,6,,,75,,,,,,,,,,,Wild,,,,CAN83RDM-A,RDM-A,1978 Winter (1 Jan-4 Apr 1978),SWI,,,,,,,PACK
"moose or elk killed every 2.7 days (moose and elk combined). Using figure extract tool and the text the % of 19 elk kills made up by each age class was: 0.5-1 = 26%, 1.5-2=0%, 2.5-5.5=16%, 6.5-10.5=11%, and 11.5-16.5=46%. Based on the following, RB recalculated the data for the whole time period: ""Carcass use during the period of intensive tracking (mid-Feb-mid-Mar) was 56% for elk and 40% for moose (Table 2). Assuming that 75% by weight of a carcass was consumable (Peterson 1977), during this 19-day period 854 kg of elk and 407 kg of moose were available to the BL pack. Actual calculated consumption was 478 kg of elk and 163 kg of moose or 25 and 9/kg/day, respectively. Given an average weight of 32.7 kg/wolf, the study pack of 5 animals consumed 0.21 kg of prey/kg of wolf or 34 kg/pack daily.""",Carbyn 1983,Riding Mountain,290,Baldy Lake,290,,,5,5-8,"8 wolves prior to December 12, 5 wolves thereafter",Elk,Cervus elaphus,Cervus elaphus,688,,138:1,,,Author cites nothing and does not outright say the masses but does say that the edible weight (75% of live) of 5 elk carcasses together is 854kg,240,,,23,21,,,75,,,,,,,,,,,Wild,,,,CAN83RDM-B,RDM-B,1978-1979 Winters (Oct 1978- May 1979),SWI,,,,,,,PACK
moose or elk killed every 2.7 days (moose and elk combined),Carbyn 1983,Riding Mountain,290,Baldy Lake,290,,,5,5-8,"8 wolves prior to December 12, 5 wolves thereafter",Moose,Alces alces,Alces alces,272,,54:1,,,Author cites nothing and does not outright say the masses but does say that the edible weight (75% of live) of 2 moose carcasses together is 407kg,481,,,23,2,,,75,407,163,,,,,,,,,Wild,,,,CAN83RDM-B,RDM-B,1978-1979 Winters (Oct 1978- May 1979),SWI,,,,,,,PACK
,Carbyn 1983,Riding Mountain,290,Baldy Lake,290,,,5,5-8,"8 wolves prior to December 12, 5 wolves thereafter",Deer,Odocoileus,Odocoileus,45,,9:1,,,,79.4,,,23,0,,,75,,,,,,,,,,,Wild,,,,CAN83RDM-B,RDM-B,1978-1979 Winters (Oct 1978- May 1979),SWI,,,,,,,PACK
"No period is actually given, but the only period they measure availabiloty was for 1992-1996. Pack size was based on numbers from Kunkel 1999 (6.2 or 6.6 depending on if Spruce was the pack with 3 or 4 in 1992 and 5 or 6 in 1996)(same with pack size range). Density is tracks/km",Kunkel 2004,North Fork Flathead River Glacier National Park,,Spruce,NR,NR,NR,6.2 or 6.6,3or4-10,Pack size was based on numbers from Kunkel 1999 (6.2 or 6.6 depending on if Spruce was the pack with 3 or 4 in 1992 and 5 or 6 in 1996)(same with pack size range),Deer,Odocoileus,Odocoileus,,0.073,,0.3,,,79.4,,,23,1,0.043,,,,,,,,,,,,,Wild,,,"More restricted by snow depths, less mobile in deep snow and were more restricted in terms of habitats (more predictable to locate)",KUL04NFF,NFF,Nov-Apr 1992-1996,MWI,,,,,,,PACK
Density is tracks/km,Kunkel 2004,North Fork Flathead River Glacier National Park,,Spruce,NR,NR,NR,6.2 or 6.6,3or4-10,Pack size was based on numbers from Kunkel 1999 (6.2 or 6.6 depending on if Spruce was the pack with 3 or 4 in 1992 and 5 or 6 in 1996)(same with pack size range),Elk,Cervus elaphus,Cervus elaphus,,0.317,,1.3,,,240,,,23,8,0.348,,,,,,,,,,,,,Wild,,,"""less restricted by snow depths, they were more dispersed, more mobile, and could remain in a wider and less predictable array of habitats than deer"". thus locating them  took more time and energy. found in smaller, scattered groups.",KUL04NFF,NFF,Nov-Apr 1992-1996,MWI,,,,,,,PACK
Density is tracks/km,Kunkel 2004,North Fork Flathead River Glacier National Park,,Spruce,NR,NR,NR,6.2 or 6.6,3or4-10,Pack size was based on numbers from Kunkel 1999 (6.2 or 6.6 depending on if Spruce was the pack with 3 or 4 in 1992 and 5 or 6 in 1996)(same with pack size range),Mooose,Alces alces,Alces alces,,0.61,,2.5,,,481,,,23,14,0.609,,,,,,,,,,,,,Wild,,,"""less restricted by snow depths, they were more dispersed, more mobile, and could remain in a wider and less predictable array of habitats than deer"". thus locating them  took more time and energy",KUL04NFF,NFF,Nov-Apr 1992-1996,MWI,,,,,,,PACK
"Density measurments done by pellets deposited between leaf fall in autumn and snow melt, but so the measure is of winter density but was techinically taken in spring",Sand 2016,SCA,966,Bograngen,966,62.9,,2,,,Moose,Alces alces,Alces alces,3217,,1609:1,3.33,,none given ,481,,,18,17,0.9444444444,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,966,Bograngen,966,62.9,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,97,,49:1,0.1,,none given ,22.4,,,18,1,0.05555555556,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,350,Djurskog,350,56.2,,5,,,Moose,Alces alces,Alces alces,595,,119:1,1.7,,none given ,481,,,15,13,0.8666666667,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2004,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,350,Djurskog,350,56.2,,5,,,Roe deer,Capreolus capreolus,Capreolus capreolus,98,,20:1,0.28,,none given ,22.4,,,15,2,0.1333333333,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2004,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,445,Fulufjellet,445,52,,6,,,Moose,Alces alces,Alces alces,538,,90:1,1.21,,none given ,481,,,8,8,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2009,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,445,Fulufjellet,445,52,,6,,,Roe deer,Capreolus capreolus,Capreolus capreolus,22,,4:1,0.05,,none given ,22.4,,,8,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2009,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,699,Fulufjellet,699,30,,9,,,Moose,Alces alces,Alces alces,839,,93:1,1.2,,none given ,481,,,9,9,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2010,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,699,Fulufjellet,699,30,,9,,,Roe deer,Capreolus capreolus,Capreolus capreolus,35,,4:1,0.05,,none given ,22.4,,,9,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2010,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1243,Gräsmark,1243,50.5,,6,,,Moose,Alces alces,Alces alces,2101,,350:1,1.69,,none given ,481,,,19,19,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2007,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1243,Gräsmark,1243,50.5,,6,,,Roe deer,Capreolus capreolus,Capreolus capreolus,174,,29:1,0.14,,none given ,22.4,,,19,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2007,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1473,Gråfjell,1473,69.3,,2,,,Moose,Alces alces,Alces alces,2195,,1098:1,1.49,,none given ,481,,,16,16,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2001,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1473,Gråfjell,1473,69.3,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,88,,44:1,0.06,,none given ,22.4,,,16,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2001,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1430,Gråfjell,1430,132,,2,,,Moose,Alces alces,Alces alces,2116,,1058:1,1.48,,none given ,481,,,35,34,0.9714285714,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2002,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,1430,Gråfjell,1430,132,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,143,,72:1,0.1,,none given ,22.4,,,35,1,0.02857142857,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2002,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,649,Gråfjell,649,62.6,,6,,,Moose,Alces alces,Alces alces,1382,,230:1,2.13,,none given ,481,,,25,24,0.96,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,649,Gråfjell,649,62.6,,6,,,Roe deer,Capreolus capreolus,Capreolus capreolus,78,,13:1,0.12,,none given ,22.4,,,25,1,0.04,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,499,Hasselfors,499,63.2,,5,,,Moose,Alces alces,Alces alces,609,,122:1,1.22,,none given ,481,,,51,15,0.2941176471,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,499,Hasselfors,499,63.2,,5,,,Roe deer,Capreolus capreolus,Capreolus capreolus,1702,,340:1,3.41,,none given ,22.4,,,51,36,0.7058823529,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2003,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,452,Jangen,452,60,,2,,,Moose,Alces alces,Alces alces,434,,217:1,0.96,,none given ,481,,,15,13,0.8666666667,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2004,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,452,Jangen,452,60,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,95,,48:1,0.21,,none given ,22.4,,,15,2,0.1333333333,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2004,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,569,Kloten,569,49.6,,2,,,Moose,Alces alces,Alces alces,751,,376:1,1.32,,none given ,481,,,14,13,0.9285714286,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2008,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,569,Kloten,569,49.6,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,319,,160:1,0.56,,none given ,22.4,,,14,1,0.07142857143,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2008,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,754,Kloten,754,49.9,,7,,,Moose,Alces alces,Alces alces,1003,,143:1,1.33,,none given ,481,,,10,10,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2011,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,754,Kloten,754,49.9,,7,,,Roe deer,Capreolus capreolus,Capreolus capreolus,339,,48:1,0.45,,none given ,22.4,,,10,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2011,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,629,Kukumäki,629,63,,2,,,Moose,Alces alces,Alces alces,1019,,510:1,1.62,,none given ,481,,,4,4,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2013,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,629,Kukumäki,629,63,,2,,,Roe deer,Capreolus capreolus,Capreolus capreolus,50,,25:1,0.08,,none given ,22.4,,,4,0,0,,,,,,,,,,,,,Wild,,,unlikely to pose a risk  to wolves,SAD16SCA,SCA,2013,SWI,A,PELL,SWI,,RAD,1,PT
,Sand 2016,SCA,776,Kukumäki,776,53.5,,3,,,Moose,Alces alces,Alces alces,1249,,416:1,1.61,,none given ,481,,,5,5,1,,,,,,,,,,,,,Wild,,,are an increased risk of injury to the wolves,SAD16SCA,SCA,2014,SWI,A,PELL,SWI,,RAD,1,PT
