"Name","ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","OBJECTID","centroid"
"DAS12ADC",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(11.9253665027882, 43.6333665886411)
"DOV22OOM",646,"Balkan mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",62,c(22.7016766731075, 42.1802112073772)
"FIO20MNP",800,"Northwest Iberian montane forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",526,c(-6.66653451998887, 41.8798022712177)
"FOS96AGP-A",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-78.6704499693432, 45.9506447492015)
"FOS96AGP-B",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-78.412915826891, 45.5263851240699)
"FOS96AGP-C",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-77.9712061641272, 45.8726692293547)
"WAI07WDM",734,"Mongolian-Manchurian grassland",8,"Temperate Grasslands, Savannas & Shrublands","Palearctic",450,c(119.846451909378, 48.0549375101564)
"GAE23VOY-G",344,"Western Great Lakes forests",4,"Temperate Broadleaf & Mixed Forests","Nearctic",787,c(-92.8682892116101, 48.4165833802884)
"GAA05GSV",689,"Alps conifer and mixed forests",5,"Temperate Conifer Forests","Palearctic",18,c(6.8434413204132, 45.060273536363)
"GAA07AVS",689,"Alps conifer and mixed forests",5,"Temperate Conifer Forests","Palearctic",18,c(6.85118291596928, 45.0622515004921)
"GUS22PAP",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(19.4509946240767, 48.6584960556662)
"GUS22VPM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(19.7241952503422, 48.6363298685041)
"GUS22MRP",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(19.9911498692303, 48.7369044080952)
"GUS22PNP",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(22.2723696158353, 49.076730123206)
"GUA04BZM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(22.4141983107692, 49.2150545272841)
"HAS00FLL",383,"Watson Highlands taiga",6,"Boreal Forests/Taiga","Nearctic",778,c(-130.220678877774, 61.6729336582046)
"HEE03BVB",361,"Northern Rockies conifer forests",5,"Temperate Conifer Forests","Nearctic",839,c(-115.759696560274, 51.3356210614397)
"HOI13GHA",688,"Zagros Mountains forest steppe",4,"Temperate Broadleaf & Mixed Forests","Palearctic",812,c(51.2457264432719, 32.8559403418283)
"HOS05HNP",734,"Mongolian-Manchurian grassland",8,"Temperate Grasslands, Savannas & Shrublands","Palearctic",450,c(105.876129119902, 47.6807464856369)
"HOY21ILR",344,"Western Great Lakes forests",4,"Temperate Broadleaf & Mixed Forests","Nearctic",787,c(-88.8842495763012, 47.9884130750948)
"HOY21YNP-N",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-110.40020797423, 44.9253423059771)
"HUD93BVB",361,"Northern Rockies conifer forests",5,"Temperate Conifer Forests","Nearctic",839,c(-115.965783914281, 51.2890137344176)
"HUN03SRM",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-114.191641643651, 45.1431430043708)
"IMT16LGR",NA,NA,NA,NA,NA,NA,c(8.70220929941906, 44.2685827967092)
"JAO22SCO",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.37801440782182, 42.4640569339957)
"JAO22SCN",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.23979068877256, 42.5727541945982)
"JAO22EST",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.42946298928695, 42.3274385638637)
"JEA94BPF-N",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.8701989388186, 52.7458273243721)
"JEA94BPF-E",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.7225193487436, 52.7455303316812)
"JEI00BPF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.7350529150152, 52.7457050643372)
"JEI02BPF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.7350170112913, 52.7459215793175)
"JEI12SLF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(22.0683194410986, 54.2913764100905)
"JEI12RMF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(22.5225302772324, 54.3228012308165)
"JEI12PZF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(21.5162624037939, 53.6036987553002)
"JEI12NRF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(20.7342206409868, 53.5232472309363)
"JEI12AGF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.2115821406872, 53.9324523320586)
"JEI12BNP",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(22.7642567472613, 53.5078464841796)
"JEI12KSF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.4550889272368, 53.2133386666628)
"JEI12BPF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.7384466103554, 52.7441463442403)
"JEI12SBF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.3163396139723, 51.4495761925872)
"JEI12RAS-R",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(22.5324668014214, 50.3838848630126)
"JEI12BZM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(22.3480381329524, 49.2332787333808)
"JEI12BKM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(20.5562003735465, 49.5254863327388)
"JEI12WBM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(19.0929773276128, 49.6221717681534)
"JEA04BHA",314,"Aravalli west thorn scrub forests",13,"Deserts & Xeric Shrublands","Indomalayan",532,c(71.9756579901961, 21.9119965930304)
"JUU13SER",767,"Tian Shan montane steppe and meadows",10,"Montane Grasslands & Shrublands","Palearctic",739,c(78.4112474991067, 41.8687110594387)
"KAV18ZOR",762,"Pamir alpine desert and tundra",10,"Montane Grasslands & Shrublands","Palearctic",552,c(73.7259255452557, 37.413768329002)
"KLH21GRO",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(24.8083382739785, 53.4250521091415)
"KLH21VIT",679,"Sarmatic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",611,c(30.2750751747841, 55.3917692608338)
"KOA04KAI",717,"Scandinavian and Russian taiga",6,"Boreal Forests/Taiga","Palearctic",615,c(29.3312689051136, 64.2334167189385)
"KUL99NFF",361,"Northern Rockies conifer forests",5,"Temperate Conifer Forests","Nearctic",839,c(-114.32298617908, 48.8708679691367)
"KUL04NFF",361,"Northern Rockies conifer forests",5,"Temperate Conifer Forests","Nearctic",839,c(-114.383857841937, 48.9172943147646)
"KUK06WCA",345,"Alberta-British Columbia foothills forests",5,"Temperate Conifer Forests","Nearctic",13,c(-119.033887250076, 54.2679257240405)
"LAY14GLB",360,"Northern Pacific Alaskan coastal forests",5,"Temperate Conifer Forests","Nearctic",827,c(-135.788775862015, 58.5866285037573)
"LAS18VRE",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-7.84912723442106, 43.4264781957597)
"LAS18CDG",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-7.89021228281111, 43.0758266492515)
"LAS18SMC",800,"Northwest Iberian montane forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",526,c(-7.40739062252382, 42.012545981189)
"LAE25SHP",769,"Western Himalayan alpine shrub and meadows",10,"Montane Grasslands & Shrublands","Palearctic",790,c(82.9433692550163, 29.3322174617277)
"LAI12ANP",674,"Pannonian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",554,c(20.6420106120183, 48.5251347515561)
"LAR94MBS",381,"Northwest Territories taiga",6,"Boreal Forests/Taiga","Nearctic",828,c(-116.884833662039, 61.6538151491816)
"LAM13AAR",376,"Mid-Canada Boreal Plains forests",6,"Boreal Forests/Taiga","Nearctic",438,c(-113.008641134241, 55.9312343224934)
"LAI24MAR",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(11.0875691163425, 42.6418142017763)
"MAN98NAN",418,"Kalaallit Nunaat High Arctic tundra",11,"Tundra","Nearctic",359,c(-33.4733380018161, 81.9457836920293)
"MAN98HWH",417,"Kalaallit Nunaat Arctic steppe",11,"Tundra","Nearctic",837,c(-24.649555647164, 73.7222370363278)
"MAI04MUG",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(11.6887770932253, 43.8332332541245)
"MAI04VLS",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(11.9439735746074, 43.7328121349733)
"MAI04PRA",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(11.7544360984062, 43.5989348567994)
"MAI04VAL",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(12.187904945116, 43.7084187201855)
"MAI11CFA",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(11.8296082911101, 43.7994882509374)
"MEU19SWP",652,"Central Anatolian steppe and woodlands",4,"Temperate Broadleaf & Mixed Forests","Palearctic",124,c(31.5265767594455, 40.0519770960721)
"MEU19NLM",703,"Northern Anatolian conifer and deciduous forests",5,"Temperate Conifer Forests","Palearctic",506,c(31.5311616974485, 40.2565156989893)
"MEI96WNA",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(9.19827389281888, 44.6554946594736)
"MEI96CNA",644,"Appenine deciduous montane forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",36,c(9.7618401413675, 44.4304164640497)
"MEI96ENA",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(11.7911360825632, 43.9499977314106)
"MEI15ERL",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(9.33910175549108, 44.7509627536835)
"MER85QAH",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-77.0115708295663, 47.3621598033167)
"MER85QAL",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-75.9315350132979, 47.0580467455703)
"MER85LKS",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-76.4154283727642, 46.4667203822615)
"MEZ12YNP-N",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-110.506377792366, 44.991955655796)
"MYK22RAS",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.0485717566363, 50.4673800329375)
"MYS19DRF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(16.0375122341188, 53.1423522182995)
"MYS18AGF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(23.1143938020096, 54.0263007058233)
"NEN16GYE",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-109.598090425503, 44.7540313545366)
"NOK05CPM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(19.1068774590957, 49.7232868761741)
"NOK11BYD",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(18.3141121824181, 52.9868410172747)
"NOK11WLF",647,"Baltic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",64,c(16.6462434009884, 53.5673692997849)
"NOK11RZF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(15.0147693896821, 52.232312196584)
"NOK11LSF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(15.3348546222449, 51.4226486341044)
"OLN97SCA",717,"Scandinavian and Russian taiga",6,"Boreal Forests/Taiga","Palearctic",615,c(12.8320659181321, 60.500947955655)
"ORI24GPN",689,"Alps conifer and mixed forests",5,"Temperate Conifer Forests","Palearctic",18,c(7.37015775755641, 45.4876493611004)
"PAL22GNP",769,"Western Himalayan alpine shrub and meadows",10,"Montane Grasslands & Shrublands","Palearctic",790,c(79.1181519245306, 31.200438092502)
"PEU19CCG",785,"Aegean and Western Turkey sclerophyllous and mixed forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",3,c(22.1788038868884, 39.0550520907994)
"PEE21UMP",344,"Western Great Lakes forests",4,"Temperate Broadleaf & Mixed Forests","Nearctic",787,c(-88.1989046260916, 46.3515150390439)
"POP18GLR",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-80.8244810361984, 46.2917004004597)
"PON88LKS",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-76.4070945730295, 46.2161572760249)
"PON88PLR",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-75.2177642985016, 46.1106821806448)
"SAD16SCA",717,"Scandinavian and Russian taiga",6,"Boreal Forests/Taiga","Palearctic",615,c(14.8352665546885, 60.2851194169958)
"SES03FAR",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-77.0056533673605, 45.1580265590628)
"SHA22LSH",754,"Karakoram-West Tibetan Plateau alpine steppe",10,"Montane Grasslands & Shrublands","Palearctic",365,c(77.6880884456162, 33.6059307111662)
"SIH03LVR",679,"Sarmatic mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",611,c(30.3503613117391, 55.7249191364551)
"SIH17NBF",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(26.3432313422743, 53.8527693898406)
"SIN19SRC",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(26.4755674377084, 45.8921412524269)
"SMA05BZM",692,"Carpathian montane forests",5,"Temperate Conifer Forests","Palearctic",107,c(22.6257445600565, 49.1642904682189)
"STG15PRR",350,"Central British Columbia Mountain forests",5,"Temperate Conifer Forests","Nearctic",133,c(-121.750978725624, 55.0003610053614)
"TAN17YNP-P",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-110.400504381406, 44.9256895346937)
"TIA21KNN",718,"Trans-Baikal conifer forests",6,"Boreal Forests/Taiga","Palearctic",750,c(107.283468731373, 49.0835543290733)
"TOS15AMR",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.07052272702579, 40.9481042182101)
"TOA24ERL-L",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(9.22513891644284, 44.8965432507968)
"TOA18LGR",NA,NA,NA,NA,NA,NA,c(8.70220929941906, 44.2685827967092)
"TOA16LGR-A",795,"Italian sclerophyllous and semi-deciduous forests",12,"Mediterranean Forests, Woodlands & Scrub","Palearctic",347,c(8.01246181489647, 44.0721436247155)
"TRC20TMM",660,"Dinaric Mountains mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",203,c(17.1630367101566, 44.5141921207835)
"TRY01LJC",333,"Eastern Canadian Forest-Boreal transition",4,"Temperate Broadleaf & Mixed Forests","Nearctic",232,c(-71.3782697575079, 47.7064442007463)
"VAE09HNP",734,"Mongolian-Manchurian grassland",8,"Temperate Grasslands, Savannas & Shrublands","Palearctic",450,c(105.893436510382, 47.681997683611)
"VIA24KZR",661,"East European forest steppe",4,"Temperate Broadleaf & Mixed Forests","Palearctic",217,c(35.7594212511562, 53.5843476409481)
"VOS00AMR",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.08362123708939, 40.9160890723416)
"VOS00PNG",648,"Cantabrian mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",98,c(-8.29951437547402, 41.9469111225601)
"WAR12LUH",654,"Central European mixed forests",4,"Temperate Broadleaf & Mixed Forests","Palearctic",139,c(14.4929876572356, 51.4809270165027)
"WEN19HUM",769,"Western Himalayan alpine shrub and meadows",10,"Montane Grasslands & Shrublands","Palearctic",790,c(81.6596031954416, 30.3422053641781)
"WEN12DOL",769,"Western Himalayan alpine shrub and meadows",10,"Montane Grasslands & Shrublands","Palearctic",790,c(83.1862556280137, 29.3801342404913)
"WEN12KCA",751,"Eastern Himalayan alpine shrub and meadows",10,"Montane Grasslands & Shrublands","Palearctic",237,c(87.9684110457327, 27.7775259090475)
"WEN12ZHA",765,"Southeast Tibet shrublands and meadows",10,"Montane Grasslands & Shrublands","Palearctic",664,c(96.3367208079315, 33.4613624293107)
"WEN12NAM",765,"Southeast Tibet shrublands and meadows",10,"Montane Grasslands & Shrublands","Palearctic",664,c(96.9083136582736, 33.1757499950056)
"WOF19GTE",367,"South Central Rockies forests",5,"Temperate Conifer Forests","Nearctic",648,c(-110.485619138321, 43.7225457489235)
"ZAN22RDM",376,"Mid-Canada Boreal Plains forests",6,"Boreal Forests/Taiga","Nearctic",438,c(-100.191968636684, 50.8334908103668)
