Notes,Paper_ID,Study_Area,Area_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Area ,Study_Region,Study_Country,Eco_Code_Olson,Eco_Num_Olson,Realm_Olson,Biome_Olson,Study_Code,Suprarealm_OneEarth,Biome_Detal,Biome_Detal_Name,Bioregion_Olson,Ecoregion_Olson,Ecoregion_OneEarth,Ecoregion_OneEarth2,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
,Belardi 2024,Słowiński National Park,SNP,17.33092,54.68936,"54°45' N, 17°30' E",Nov 2019,April 2020,327.4,northern Poland,Poland,PA0405,5,PA,4,BEI24SNP,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80405,647,647,WEE,GEM,PA10,,,,,,,,,,,,,,,,,,,,4,"red deer (Cervus elaphus), wild boar (Sus scrofa), roe deer (Capreolus capreolus), fallow deer (Dama dama)",,,,,,,,,,,,,
"Albertan wolves reported to be ""somewhat larger than those in southern Ontario and Minenesota"". 1500-2300 cattle graze within the study area between May-October",Bjorge 1989,Simonette River,SNR,-117.82636,54.83433,54°50'N 117°30'W,1976,1981,2000,Alberta,Canada,NA0802,2,NA,8,BJE89SNR,NA,6,Boreal Forests/Taiga,NA08,50802,376,376,SUA,CBF,NA8,NR,NR,-13.5 (mean december),16 (mean july),NR,NR,98,"""60-85 frost free days""",670,760,670-760,0.0065-0.02,0.0135833,"14-15 in 1975, 40 in 1979, 13 in 1980/81","3 (winter 1975/76), 6 (winter 1978/79)",2-12,6,"There is significantly more wolf data than what is noted here, check paper for more (ex: Table 1). wolf density was 1 wolf per 92km^2 (14-15 wolves) in winter 1975 and one wolf per 42 km^2 (40 wolves) in 1979 (the population high), then goverment decided to control wolves and population droped to 13 wolves in 1980/81. 12% of wolves were lone wolves. mean summer territory size was 233km2 (range: 100-276) and mean winter was 424km2 (range: 198-572). Mean wolf pop increase between late winter-summer was 60%, mean winter pop loss was 30%. Min consumption rate for one pack over 51 days in winter was 0.12kg/kg wolf/day. # wolf packs with more than two wolves increased from 3 in winter 1975/76 to 6 in  winter 1978-1979. Mean midwinter pack size was 6, range 2-12. Mean 12% of wolf pop were lone wolves. Government wolf control conducted during late winter 1979-80. 6 is mean pack size. number of packs was 3-6, total number of wolves ranged from 13-40. ","""Seven grazing leases were located within the study area which pastured between 1500 and 2300 cattle during the May-October grazing season""",4,"Moose, Elk, Mule deer, white-tailed deer",Yes,2,1,Black bear (Ursus americanus),1,Coyote (Canis latrans),,,,,,,
Ibex is the only wild ungulate in the study area. Lack of marmots. Pikas and partridge like birds common,Bocci 2017,Hushey valley,HSV,76.38915,35.52601,"76° 20′ E to 35° 27′ N (town of Hushe, not center of study area)",2011,2012,4000,Central Karakoram National Park,Pakistan,PA1006,6,PA,10,BOI17HSV,PA,10,Montane Grasslands & Shrublands,PA10,81006,754,754,EAE,TIP,PA41,"yes, livestock still graze their and 150 households (1200 humans)",NR,NR,NR,NR,NR,NR,Dec-May,3000,5000,3000-5000,NR,NR,NR,NR,NR,NR,"descend to lower altitudes ((<3000m asl) where the livestock is) from December-May (the study period) . group-living. use less steep and less rugged terrain, not cliffs. listed as ‘endangered’ in the red list of Pakistan Mammals. altitudinal range of at least 1000m asl to over 5000m asl. Greater flexibility whem it comes to habitat use and use of local ressources. 'least concern' species. ecologically flexible",Abundant. See prey notes in sheet 4 for details,1,Ibex (Capra ibex),No,3,1,Snow leopard (Panthera unica),2,"Red fox (Vulpes vulpes), Corsac fox (Vulpes corsac)",,,,,,,
"Upper elevation limit may be of adjacent area, not study area. Domestic livestock were rare in area (50 horses present in winter, no sheep or cattle)",Boyd 1994,North Fork Flathead River Glacier National Park,NFF,-114.30496,48.85032,NR,1984,1991,None given ,British Columbia and Montana,Canada and USA,NA0518,18,NA,5,BOD94NFF,NA,5,Temperate Conifer Forests,NA05,50518,361,361,NOA,AMW,NA13,No but adjacent to Glacier National Park,NR,NR,NR,NR,NR,"Annual sum of maximum snow depths were ""used to classify winters as shallow-snow or deep-snow, with the distinction point at 300 cm. Winters 1985-86, 1986-87, 1987-88, and 1988-89 were shallow-snow (range =150-277, x = 223.5, SD = 47.3). Winters 1989-90 and 1990-91 were deep-snow (range = 320-325, x = 322.5, SD = 2.5)""",Nov-Apr,1020,2800,1020-2800,NR,NR,"6 (W 1984/5), 12 (W 1985/6), 10(W 19856/7), 10 (W 1987/8), 12 (W 1988/9), 7 (W 1989/90), 18 (Winter 1990/1)","1 (Winters 1984/5-1989/90), 3 (Winter 1990/1)",2-12,"10 (Winters 1984/5-1989/90), 6 (Winter 1990/1)","wolves were reduced in BC and AB and extirpated from the GNP and surrounding areas by late 1930s. Began to recolonize area in 1982 after being listed as an endagered species in 1973 in the US. 31 radiocollared wolves from Aug 1984-July 1991. ""The wolf pack consisted of 6, 12, 10, 10, 12, and 7 wolves in the early winters of 1984-85 to 1989-90, respectively. In summer 1990, the pack split into 3 packs containing 9, 7, and 2 wolves, dividing the former home range into thirds. We followed all 3 packs during winter 1990-91.""",Domestic livestock very rare: only 50 horses and only in winter,4,"White-tailed deer (Odocoileus virginianus), mule deer (Odocoileus hemionus), elk (Cervus elaphus), and moose (Alces alces)",Yes,5,3,"mountain lions (Felis concolor), black bears (Ursus americanus), and grizzly bears (Ursus arctos)",2,Wolverine (Gulo gulo) and coyotes (Canis latrans),,,,,,,
Hare and porcupine also present. ,Capitani 2004,Pratomagno,PRA,11.61188,43.67635,NR,1999,2000,110,Homonym massif of Appenines towars Arezzo plains,Italy,PA1211,11,PA,12,CAI04PRA,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,Half is a natural reserve,NR,NR,NR,NR,NR,NR,Winters characterized by snowfall and snow melting (Snow stays less than 50 days per winter),300,1600,300-1600,NR,NR,NR,NR,NR,5,Early winter pack size was 5 (based on howling surveys and snow tracking),"Cattle and horses free range from June-Sept, sheeps and goats present year-round at low altitudes.",5,"Wild boar (Sus scrofa), Roe deer (Capreolus capreolus), Fallow deer (Dama dama), Mouflon (Ovis ammon musimon), Chamois (Rupicapra rupicapra)",No,NR,NR,NR,NR,NR,,,,,,,
Small mammals common. ,Capitani 2004,Cecina Valley,CCV,10.65664,43.238,NR,2000,2001,25,Thyrrenian coast,Italy,PA1211,11,PA,12,CAI04CCV,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81211,795,795,WEE,MED,PA19,NR,NR,NR,NR,NR,NR,NR,Rare,100,600,100-600,NR,NR,NR,NR,4-5,NR,Early winter pack size was 4-5 (based on howling surveys and snow tracking),Sheep and goats present in open areas throughout the year. A few large herds of horses and cattle present near farms and villages in small numbers. Local climate allows livestock to be grazed on pasture year round.,5,"Wild boar (Sus scrofa), Roe deer (Capreolus capreolus), Fallow deer (Dama dama), Mouflon (Ovis ammon musimon), Chamois (Rupicapra rupicapra)",No,NR,NR,NR,NR,NR,,,,,,,
Audy Lake pack territory. 1977-78 was a mild winter while 1978-79 was a severe winter,Carbyn 1983,Riding Mountain - Audy Lake,RDM-A,-100.21596,50.76058,NR,1977,1977,268,Manitoba,Canada,NA0608,8,NA,6,CAN83RDM-A,NA,6,Boreal Forests/Taiga,NA06,50608,376,376,SUA,CBF,NA8,no hunting allowed in park but hunters frequently harvest along park boundaries,NR,NR,NR,NR,NR,44 (also has it by month),Oct or Nov-Apr,NR,NR,NR,NR,NR,3-5,1,NR,3-5,partially exploited wolf population.  Three wolves (all pups or young of year) from the Audy Lake (AL) pack were captured. Until 10 November the pack consisted of 5 wolves. Thereafter it remained 3 (1 adult of each sex and a pup). ,No mention,3,"Moose (Alces alces), Deer, Elk (Cervus elaphus)",Yes,NR,NR,NR,NR,NR,,,,,,,
Baldy Lake pack territory. 1977-78 was a mild winter while 1978-79 was a severe winter,Carbyn 1983,Riding Mountain - Baldy Lake,RDM-B,-100.40607,50.78831,NR,1977,1979,290,Manitoba,Canada,NA0608,8,NA,6,CAN83RDM-B,NA,6,Boreal Forests/Taiga,NA06,50608,376,376,SUA,CBF,NA8,no hunting allowed in park but hunters frequently harvest along park boundaries,NR,NR,NR,NR,NR,65 (also has it by month),Oct or Nov-Apr,NR,NR,NR,NR,NR,5-8,1,NR,5-8,Average wolf weight = 32.7kg (no details on mass). partially exploited wolf population. Territory size was 290 km^2. Early winter pack size was 8 and then reduced to 5 after Dec 12,No mention,3,"Moose (Alces alces), Deer, Elk (Cervus elaphus)",Yes,NR,NR,NR,NR,NR,,,,,,,
"53% cultivated land, 20% wetlands, 10% brushlands, 10% forests (deciduous and coniferous), 7% pasture and grasslands. Study area consists of Agassiz National Wildlife Refuge and three adjoining state wildlife management areas (Elm Lake, Eckvoll and Mudlac Wildlife Management Areas) and the surrounding agricultual land. The 2 consecutive winter  before the study were severe, possibly one of the reasons why the deer and moose pops were declining.",Chavez 2005,Agassiz,AGZ,-95.95740,48.32791,"48˚19'N, 95˚59'W",1997,1999,1200,Minnesota,USA,NA0812,12,NA,8,CHZ05AGZ,NA,8,"Temperate Grasslands, Savannas & Shrublands",NA08,50812,397,397,NOA,GRP,NA12,Some? unclear,NR,NR,NR,NR,NR,NR,Continuous from late Nov-April,NR,NR,NR,NR,NR,NR,NR,NR,NR,Wolf population has persisted in area since early 1980's and there is a nearby population source of dispersing wolves. Part of the Eastern Timber Wolf Recovery Project?,Cattle and pig farms in non-wildlife reserve areas. Only one pig farm and pigs only available as carcasses through the farms carcass dump,2,"Moose (Alces alces), White-tailed deer (Odocoileus virginianus)",Yes,NR,NR,NR,NR,Red fox (Vulpes vulpes),,,,,,,
,Chenaux-Ibrahim 2024,Grand Portage,GRP,-89.78726,47.95611,NR,2011,2013,227,Minnesota,USA,NA0416,16,NA,4,CHM24GRP,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50416,344,344,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,2,"Moose (Alces alces), White-tailed deer (Odocoileus virginianus)",Yes,,,,,,,,,,,,
,Chenaux-Ibrahim 2024,Voyageurs National Park area,VOY,-92.81352,48.374148,NR,2012,2013,883,Minnesota,USA,NA0416,16,NA,4,CHM24VOY,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50416,344,344,NOA,NAF,NA11,,,,,,,,,,,,,,,,,,,,2,"Moose (Alces alces), White-tailed deer (Odocoileus virginianus)",Yes,,,,,,,,,,,,
"Snow average is either <200 or <100, depending on if snow does (<100) or doesn't (<200) count as rainfall",Chetri 2017,Central Himalayas,CHM,84.17037,28.87849,"28˚0'0""-29˚20'00""N, 83°20'00""-85˚20'00""E",2012,2013,5000,Annapurna-Manaslu landscape,Nepal,PA1003,3,PA,10,CHI17CHM,PA,10,Montane Grasslands & Shrublands,PA10,81003,751,751,EAE,TIP,PA41,"""Conservation area""",,-40,30,,<200,see comments,Nov-Mar,NR,NR,NR,NR,NR,NR,NR,NR,NR,Very rare. Ecological info is practically non-existent according to author.,abundant,7,"Bharal (Pseudois nayaur), Tibetan gazelle (Procapra picticaudata), Himalayan tahr (Hemitragus jemlahicus), Tibetan Argali (Ovis ammon hogdsoni)), Kiang (Equus kiang), Himalayan serow (Capricornis thar), alpine musk deer (Moschus chryogaster)",No,6,2,"Snow leopard, Brown bear",4,"Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata) and golden jackal (Canis aureus)",,,,,,,
,(Chieko) Nakazawa 2008,Bogdkhan Mountain Strictly Protected Area,BOG,107.00603,47.79753,NR,June 2004,June 2005,416.51,Ulaanbaatar,Mongolia,PA0804,4,PA,8,NAK08BOG,PA,8,"Temperate Grasslands, Savannas & Shrublands",PA04,80804,726,726,EAE,MOG,PA44,,,,,,,,,,,,,,,,,,,,5,"wild boar (Sus scrofa), Siberian musk deer (Moschus moschiferus), red deer (Cervus elaphus), roe deer (Capreolus capreolus), and ibex (Capra ibex)",,,,,,,,,,,,,
,Ciucci 2020,"Abruzzo, Lazio and Molise National Park (PNALM)",ALM,13.86329,41.78143,NR,Jan 2005,March 2009,1294,Central Apennines,Italy,PA0401,1,PA,4,CII20ALM,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dale 1995,Gates of the Arctic National Park,GAN,-153.21713,67.74231,"68° N, 153° E",March 1989,Nov 1990,30000,Alaska,USA,NA1108,8,NA,11,DAE95GAN,NA,11,Tundra,NA11,51108,411,411,SUA,ALA,NA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis 2012,Alpe di Catenaia,ADC,11.92535,43.6334,"43°48'N, 11°49'E",2000,2008,120,Arezzo province,Italy,PA0401,1,PA,4,DAS12ADC,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80401,644,644,WEE,MED,PA19,27 km2 area within site is protected (hunting is banned),NR,NR,NR,NR,NR,NR,Oct-Apr,300,1414,300-1414,0.025-0.05,NR,3-6,1,3-6,NR,"confirmed using DNA from scats, snow tracking and wolf-howling surveys",a number of (mostly) sheep farms surrounding the study area,3,"Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Red deer (Cervus elaphus) (occasionally recorded only after 2007)",No,NR,NR,NR,NR,NR,,,,,,,
"""Relatively well-preserved habitats and low anthropogenic pressure"". No Africn swine fever cases recorded in the mountain yet ",Dolapchiev 2022,Osogovo Mountain,OOM,22.70166,42.18031,NR,2018,2020,650,southwest Bulgaria,Bulgaria,PA0404,4,PA,4,DOV22OOM,PA,4,Temperate Broadleaf & Mixed Forests,PA04,80404,646,646,WEE,EMF,PA15,"""protected border area"" unclear in legal environment protections. Year round hunting",NR,NR,NR,NR,NR,NR,NR,NR,,NR,0.02-0.06,0.03333333333,12,2,4-8,6,"Wolf has always been present in the mountain. Two small wolf packs in 2016 and 2018, one with 4 individuals each, one with eight. Wolf density was 0.02 in 2018, 0.02 in 2019, and 0.06 in 2020 (based on REM). the larger pack persisted to 2020 and beyond . ",domestic horses are all thats mentioned,2,"Roe deer, wild boar",NR,2,1,Brown bear (Ursus arctos),1,Eurasian (Lynx lynx),,,,,,,
SA saw recent increases in wild ungulate densities,Figueiredo 2020,Montesinho Natural Park,MNP,-6.66661,41.87983,"6˚30’-7˚12’W, 41˚43’-41˚ 59’N",2017,2019,350,North-east Portugal,Portugal,PA1216,16,PA,12,FIO20MNP,PA,12,"Mediterranean Forests, Woodlands & Scrub",PA12,81216,800,800,WEE,MED,PA20,Natural park,NR,3,21,600-1500,NR,0,NR,438,1481,438-1481,NR,NR,NR,NR,NR,NR,"Drastic decline in range and numbers led to legal protectionin the 1980's and are now recovering. Wolf is the only top predator in the area, so they believe that wild ungulate presence in the diet is reflective of wolf kills and not of scavenging.","Cattle, sheep, goats, and pigs. Mostly sheep. See prey notes in sheet 4 for detai,s",3,"Red deer, Roe deer, Wild boar",No,1?,0,N/A,1?,"Red fox (Vulpes vulpes) mentioned, Domestic/wild cat is mentioned in diet analysis as a category but no scientific name was given so unsure if they mean feral or an actual wild cat species",,,,,,,
,Forbes 1996,Algonquin Park A,AGP-A,-78.67056,45.95073,NR,1987,1992,1964,Ontario,Canada,NA0406,6,NA,4,FOS96AGP-A,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.038,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.038/km^2. Average pack size was not significantly different between regions. Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". ""extraterritorial movement was not recorded, possibly because a migratory deer population was not present to draw wolves beyond established territories."" Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",NR,NR,NR,NR,NR,,,,,,,
,Forbes 1996,Algonquin Park B,AGP-B,-78.41339,45.52724,NR,1987,1992,1630,Ontario,Canada,NA0406,6,NA,4,FOS96AGP-B,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.04,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.040/km^2. Average pack size was not significantly different between regions. Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",NR,NR,NR,NR,NR,,,,,,,
,Forbes 1996,Algonquin Park C,AGP-C,-77.97128,45.8731,NR,1987,1992,2869,Ontario,Canada,NA0406,6,NA,4,FOS96AGP-C,NA,4,Temperate Broadleaf & Mixed Forests,NA04,50406,333,333,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.052,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.052/km^2. Average pack size was not significantly different between regions. ""Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". ""In 1990-1991 and 1991 -1992, 8 of the 10 region C wolf packs (80 % ) spent extended periods, ranging from several days to months, outside of natal territories (Forbes and Theberge 1995). This wolf movement was related to the seasonal emigration of park deer to a deer yard located 15 km from the park."" Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",NR,NR,NR,NR,NR,,,,,,,
