Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2559,,,21.322,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,208,,,,,,0.765,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2007-2008,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4484,,,37.366,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,208,,,,,,0.201,,Wild,,,,,,2007-2008,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1895,,,15.79,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,272,,,,,,0.696,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2008-2009,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,3919,,,32.658,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,272,,,,,,0.229,,Wild,,,,,,2008-2009,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Mean of all years. (consumption includes 2006-2007 but density does not because no census was done that year),Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1707,,,14.221625,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.4,1974,1284,65.04559271,58.9261129,,,0.615,,Wild,,,,,,2000-2009,MYR,P-8-9,DC,MSP,8,T,9,DAS12ADC,ADC,2,UK,UK,UK,PACK
,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4751,,,39.587625,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.6,1974,804,40.72948328,36.89765948,,,0.337,,Wild,,,,,,2000-2009,MYR,P-8-9,DC,MSP,8,T,9,DAS12ADC,ADC,2,UK,UK,UK,PACK
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,735,,,1.13,,,84.5,,,42,23,55.6,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,1,2018 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,5291,,,8.14,,,22.4,,,42,5,11.1,,,,,,Wild,,,found in smaller groups than wild boar,0.02,1,2018 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,715,,,1.1,,,84.5,,,25,22,88.9,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,1,2019 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,4440,,,6.83,,,22.4,,,25,1,3.7,,,,,,Wild,,,found in smaller groups than wild boar,0.02,1,2019 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,384,,,0.59,,,84.5,,,60,44,73.3,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.06,1,2020 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,3393,,,5.22,,,22.4,,,60,15,25,,,,,,Wild,,,found in smaller groups than wild boar,0.06,1,2020 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1,POP
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,686,,0.3,9.8,,,56.2,,,83,,,0.5,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,539,,0.24,7.7,,,22.4,,,83,,,0.1,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,1057,,0.46,15.1,,,84.5,,,83,,,0.4,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,672,,0.33,9.6,,,56.2,,,251,,,0.5,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,532,,0.26,7.6,,,22.4,,,251,,,0.06,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,875,,0.41,12.5,,,84.5,,,251,,,0.44,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1,PACK
Density 95% CI reported by original density source (Valente et al 2014) = 0.68-2.21,Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,430.5,,,1.23,24,Estimated based on literature,22.4,29.52,,85,37,44,39,,,0.233,,Wild,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-5-2,PC,SYR,1,T,2,FIO20MNP,MNP,6,1,0,1,POP
Density 95% CI reported by original density source (Torres et al 2015) = 3.65-9.25,Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,2033.5,,,5.81,100,Estimated based on literature,240,581,,85,23,27,24,,,0.273,,Wild,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-5-2,PC,MWI,2,T,2,FIO20MNP,MNP,6,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,189,,,0.54,,,613,,,85,0,0,0,,,0,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T,2,FIO20MNP,MNP,6,1,0,1,POP
PanTheria has no distiction between wild or domestic pigs.,Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,3.5,,,0.01,,,84.5,,,85,0,0,0,,,0,,Livestock,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T,2,FIO20MNP,MNP,6,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,3223.5,,,9.21,,,34.2,,,85,0,0,0,,,0,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T,2,FIO20MNP,MNP,6,1,0,1,POP
,Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,325.5,,,0.93,28.5,Estimated based on literature,46.9,26.505,,85,4,5,4,,,0.02599,,Livestock,semi-guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area. negative selection likely due to increased livestock protection measures.,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T,2,FIO20MNP,MNP,6,1,0,1,POP
"Density recorded here for winter is pellets per transect and their standard error. Only 0.02 deer/km^2 overwinter in this region, the rest migrate to a deer yard 15km away",Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,0.1,75,Average of both adult sexes combined,75,,,208,,,9.1,,,0.043,,Wild,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T,5,FOS96AGP-A,AGP-A,2,UK,UK,UK,POP
71% of the 41 carcasses were scavenged animals that died of winter tick infestation. 0.5 moose/km^2 ,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,,,,9.3,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,208,,,49.2,,,0.873,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T,5,FOS96AGP-A,AGP-A,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,0.9,75,Average of both adult sexes combined,75,,,461,,,32.5,,,0.225,,Wild,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T,5,FOS96AGP-B,AGP-B,2,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,,,,7.2,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,461,,,26.6,,,0.646,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T,5,FOS96AGP-B,AGP-B,2,UK,UK,UK,POP
"""Deer (Odocoileus virginianus) were believed to be absent in the region until the mid-1880s, peaked to chronic overpopulation in the 1950s and early 1960s, and became locally extirpated by the mid 1970s""",Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,1.4,75,Average of both adult sexes combined,75,,,767,,,27.1,,,0.135,,Wild,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T,5,FOS96AGP-C,AGP-C,2,UK,UK,UK,POP
0.45 moose/km^2,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,,,,8.1,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,767,,,40.1,,,0.717,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T,5,FOS96AGP-C,AGP-C,2,UK,UK,UK,POP
Density recorded here for summer is tracks per transect,Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,371,,,8.6,,,0.047,,Wild,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-A,AGP-A,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,,,,19.9,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,371,,,48.7,,,0.821,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-A,AGP-A,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,10.6,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,186,,,38.9,,,0.273,,Wild,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-B,AGP-B,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,,,,14.2,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,186,,,24.7,,,0.576,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-B,AGP-B,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,12.1,"75 (adult), 19 (fawn)",Fawn is based off of weight of calves in July (external source). Adult weight is the average of both adult sexes combined,75,,,823,,,36.4,,,0.248,,Wild,,,,,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-C,AGP-C,2,UK,UK,UK,POP
,Forbes 1996,Algonquin Park C,,Moose,Alces alces,Alces alces,,,,17.4,"444.25 (adult), 40 (calf)",Calf is based off of weight of calves in July (external source). Adult weight is the average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,823,,,32.4,,,0.64,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,Summers 1987-1992,MSU,P-5-5,TC,MSU,5,T,5,FOS96AGP-C,AGP-C,2,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1710,,,3.27,110.4,,240,361.008,0.526408805,716,,,,,,0.396,,Wild,,,,,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,3206,,,6.13,25,,22.4,153.25,0.2234636057,716,,,,,,0.144,,Wild,,,,,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2971,,,5.68,30.2,,32.8,171.536,0.2501275893,716,,,,,,0.185,,Wild,,,,,,2000/01 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1140,,,2.18,110.4,,240,240.672,0.5882646252,716,,,,,,0.645,,Wild,,,,,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1313,,,2.51,25,,22.4,62.75,0.1533772322,716,,,,,,0.23,,Wild,,,,,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1831,,,3.5,30.2,,32.8,105.7,0.2583581426,716,,,,,,0.109,,Wild,,,,,,2000/01 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1485,,,2.84,110.4,,240,313.536,0.5466089728,716,,,,,,0.22,,Wild,,,,,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2547,,,4.87,25,,22.4,121.75,0.2122551874,716,,,,,,0.174,,Wild,,,,,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2395,,,4.58,30.2,,32.8,138.316,0.2411358398,716,,,,,,0.04,,Wild,,,,,,2001/02 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1140,,,2.18,110.4,,240,240.672,0.5922309551,716,,,,,,0.715,,Wild,,,,,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1224,,,2.34,25,,22.4,58.5,0.1439532263,716,,,,,,0.187,,Wild,,,,,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1857,,,3.55,30.2,,32.8,107.21,0.2638158186,716,,,,,,0.04,,Wild,,,,,,2001/02 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1548,,,2.96,110.4,,240,326.784,0.5685612677,716,,,,,,0.361,,Wild,,,,,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,2275,,,4.35,25,,22.4,108.75,0.1892107259,716,,,,,,0.274,,Wild,,,,,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2411,,,4.61,30.2,,32.8,139.222,0.2422280063,716,,,,,,0.097,,Wild,,,,,,2002/03 S,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Red deer,Cervus elaphus,Cervus elaphus,1166,,,2.23,110.4,,240,246.192,0.6046358559,716,,,,,,0.412,,Wild,,,,,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Roe deer,Capreolus capreolus,Capreolus capreolus,1213,,,2.32,25,,22.4,58,0.1424452445,716,,,,,,0.511,,Wild,,,,,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,1783,,,3.41,30.2,,32.8,102.982,0.2529188995,716,,,,,,0.064,,Wild,,,,,,2002/03 W,,,,,,,,GAA07AVS,AVS,3,UK,UK,UK,
,Guimarães 2022,Pol’ana PLA,425,Red deer,Cervus elaphus,Cervus elaphus,1342,,,1.876,,,240,,,100,44,44,41.9,,,0.721,,Wild,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Roe deer,Capreolus capreolus,Capreolus capreolus,1140,,,1.591,,,22.4,,,100,27,27,25.7,,,0.069,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Wild boar,Sus scrofa,Sus scrofa,449,,,0.632,,,84.5,,,100,31,31,29.5,,,0.21,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Cattle,Bos taurus,Bos taurus,3647,,,8.581,,,613,,,100,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Sheep,Ovis aries,Ovis aries,8574,,,20.175,,,34.2,,,100,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Goat,Capra hircus,Capra hircus,473,,,1.114,,,46.9,,,100,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PAP,PAP,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Red deer,Cervus elaphus,Cervus elaphus,498,,,1.529,,,240,,,64,34,53.125,48.6,,,0.736,,Wild,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Roe deer,Capreolus capreolus,Capreolus capreolus,371,,,1.139,,,22.4,,,64,9,14.0625,12.9,,,0.03,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Wild boar,Sus scrofa,Sus scrofa,145,,,0.439,,,84.5,,,64,26,40.625,37.1,,,0.233,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Cattle,Bos taurus,Bos taurus,1724,,,7.664,,,613,,,64,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Sheep,Ovis aries,Ovis aries,3603,,,16.015,,,34.2,,,64,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Goat,Capra hircus,Capra hircus,228,,,1.015,,,46.9,,,64,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22VPM,VPM,6,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Red deer,Cervus elaphus,Cervus elaphus,1271,,,1.306,,,240,,,114,43,37.71929825,36.1,,,0.61,,Wild,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Roe deer,Capreolus capreolus,Capreolus capreolus,1073,,,1.113,,,22.4,,,114,17,14.9122807,14.3,,,0.037,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Wild boar,Sus scrofa,Sus scrofa,535,,,0.5499,,,84.5,,,114,57,50,47.9,,,0.335,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
