Notes,Paper_ID,Study_Area,Area_Code,Study_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Study_Region,Study Country,Eco_Code_Olson,Realm_Olson,Biome_Olson,Bioregion_Olson,Suprarealm_OneEarth,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Area ,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Ecoregion_OneEarth,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
Audy Lake pack territory. 1977-78 was a mild winter while 1978-79 was a severe winter,Carbyn 1983,Riding Mountain - Audy Lake,RDM-A,CAN83RDM-A,-100.21596,50.76058,NR,1977,1977,Manitoba,Canada,NA0608,NA,6,NA06,NA,SUA,CBF,NA8,no hunting allowed in park but hunters frequently harvest along park boundaries,NR,NR,NR,NR,NR,44 (also has it by month),Oct or Nov-Apr,NR,NR,NR,268,NR,NR,3-5,1,NR,3-5,partially exploited wolf population.  Three wolves (all pups or young of year) from the Audy Lake (AL) pack were captured. Until 10 November the pack consisted of 5 wolves. Thereafter it remained 3 (1 adult of each sex and a pup). ,No mention,3,"Moose (Alces alces), Deer, Elk (Cervus elaphus)",Yes,376,NR,NR,NR,NR,NR,,,,,,,
Baldy Lake pack territory. 1977-78 was a mild winter while 1978-79 was a severe winter,Carbyn 1983,Riding Mountain - Baldy Lake,RDM-B,CAN83RDM-B,-100.40607,50.78831,NR,1977,1979,Manitoba,Canada,NA0608,NA,6,NA06,NA,SUA,CBF,NA8,no hunting allowed in park but hunters frequently harvest along park boundaries,NR,NR,NR,NR,NR,65 (also has it by month),Oct or Nov-Apr,NR,NR,NR,290,NR,NR,5-8,1,NR,5-8,Average wolf weight = 32.7kg (no details on mass). partially exploited wolf population. Territory size was 290 km^2. Early winter pack size was 8 and then reduced to 5 after Dec 12,No mention,3,"Moose (Alces alces), Deer, Elk (Cervus elaphus)",Yes,376,NR,NR,NR,NR,NR,,,,,,,
"53% cultivated land, 20% wetlands, 10% brushlands, 10% forests (deciduous and coniferous), 7% pasture and grasslands. Study area consists of Agassiz National Wildlife Refuge and three adjoining state wildlife management areas (Elm Lake, Eckvoll and Mudlac Wildlife Management Areas) and the surrounding agricultual land. The 2 consecutive winter  before the study were severe, possibly one of the reasons why the deer and moose pops were declining.",Chavez 2005,Agassiz,AGZ,CHZ05AGZ,-95.95740,48.32791,"48˚19'N, 95˚59'W",1997,1999,Minnesota,USA,NA0812,NA,8,NA08,NA,NOA,GRP,NA12,Some? unclear,NR,NR,NR,NR,NR,NR,Continuous from late Nov-April,NR,NR,NR,1200,NR,NR,NR,NR,NR,NR,Wolf population has persisted in area since early 1980's and there is a nearby population source of dispersing wolves. Part of the Eastern Timber Wolf Recovery Project?,Cattle and pig farms in non-wildlife reserve areas. Only one pig farm and pigs only available as carcasses through the farms carcass dump,2,"Moose (Alces alces), White-tailed deer (Odocoileus virginianus)",Yes,397,NR,NR,NR,NR,Red fox (Vulpes vulpes),,,,,,,
"Snow average is either <200 or <100, depending on if snow does (<100) or doesn't (<200) count as rainfall",Chetri 2017,Central Himalayas,CHM,CHI17CHM,84.17037,28.87849,"28˚0'0""-29˚20'00""N, 83°20'00""-85˚20'00""E",2012,2013,Annapurna-Manaslu landscape,Nepal,PA1003,PA,10,PA10,PA,EAE,TIP,PA41,"""Conservation area""",,-40,30,,<200,see comments,Nov-Mar,NR,NR,NR,5000,NR,NR,NR,NR,NR,NR,Very rare. Ecological info is practically non-existent according to author.,abundant,,,No,751,6,2,"Snow leopard, Brown bear",4,"Eurasian lynx (Lynx lynx), Red fox (Vulpes vulpes), Tibetan fox (Vulpes ferrilata) and golden jackal (Canis aureus)",,,,,,,
,Davis 2012,Alpe di Catenaia,ADC,DAS12ADC,11.92535,43.6334,"43°48'N, 11°49'E",2000,2008,Arezzo province,Italy,PA0401,PA,4,PA04,PA,WEE,MED,PA19,27 km2 area within site is protected (hunting is banned),NR,NR,NR,NR,NR,NR,Oct-Apr,300,1414,300-1414,120,0.025-0.05,NR,3-6,1,3-6,NR,"confirmed using DNA from scats, snow tracking and wolf-howling surveys",a number of (mostly) sheep farms surrounding the study area,2-3,"Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Red deer (Cervus elaphus) (occasionally recorded only after 2007)",No,644,NR,NR,NR,NR,NR,,,,,,,
"""Relatively well-preserved habitats and low anthropogenic pressure"". No Africn swine fever cases recorded in the mountain yet ",Dolapchiev 2022,Osogovo Mountain,OOM,DOV22OOM,22.70166,42.18031,None given ,2018,2020,southwest Bulgaria,Bulgaria,PA0404,PA,4,PA04,PA,WEE,EMF,PA15,"""protected border area"" unclear in legal environment protections. Year round hunting",NR,NR,NR,NR,NR,NR,NR,NR,,NR,650,0.02-0.06,0.03333333333,12,2,4-8,6,"Wolf has always been present in the mountain. Two small wolf packs in 2016 and 2018, one with 4 individuals each, one with eight. Wolf density was 0.02 in 2018, 0.02 in 2019, and 0.06 in 2020 (based on REM). the larger pack persisted to 2020 and beyond . ",domestic horses are all thats mentioned,2,"Roe deer, wild boar",Not mentioned,646,2,1,Brown bear (Ursus arctos),1,Eurasian (Lynx lynx),,,,,,,
"50.2% scrubwood, pine wood 8.4%, abandoned olive groves and pastures(partially re-colonized by wodd and bushes) 9.2%, set-aside grassland 3.9%, marshland/wetlands 3.8%, crops (mainly cereals and sunflower) 24.4%. ""among carnivores, the red fox Vulpes vulpes, the Eurasian badger Meles meles, the wildcat Felis silvestris, the stone marten Martes foina and the pine marten Martes martes."" ""rich community of meso-mammals (8 species among rodents, lagomorphs and carnivores)""",Ferretti 2019,Uccellina Hills,UCH,FEI19UCH,11.09642,42.63257,"42°39’N, 11°05’E",2016,2018,Thyrrenian coast,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,yes - extent not clear,NR,NR,NR,NR,NR,NR,NR,NR,417,max 417,70,NR,NR,NR,1,NR,NR,"a pack settled in area in 2015, a second pack settled north of the ombrone river in 2017 (may visit north portion of study area)","3 wild ungulates: 2 livestock. Free ranging cattle and horses, locally and irregularly moved through pastures and some pine/scrubwood",3,"Roe deer, wild boar, fallow deer",No,795,1,0,NA,1,Red fox (Vulpes vulpes),,,,,,,
SA saw recent increases in wild ungulate densities,Figueiredo 2020,Montesinho Natural Park,MNP,FIO20MNP,-6.66661,41.87983,"6˚30’-7˚12’W, 41˚43’-41˚ 59’N",2017,2019,North-east Portugal,Portugal,PA1216,PA,12,PA12,PA,WEE,MED,PA20,Natural park,NR,3,21,600-1500,NR,0,NR,438,1481,438-1481,350,NR,NR,NR,NR,NR,NR,"Drastic decline in range and numbers led to legal protectionin the 1980's and are now recovering. Wolf is the only top predator in the area, so they believe that wild ungulate presence in the diet is reflective of wolf kills and not of scavenging.","Cattle, sheep, goats, and pigs. Mostly sheep. See prey notes in sheet 4 for detai,s",3,"Red deer, Roe deer, Wild boar",No,800,1?,0,N/A,1?,"Red fox (Vulpes vulpes) mentioned, Domestic/wild cat is mentioned in diet analysis as a category but no scientific name was given so unsure if they mean feral or an actual wild cat species",,,,,,,
,Forbes 1996,Algonquin Park A,AGP-A,FOS96AGP-A,-78.67056,45.95073,None given ,1987,1992,Ontario,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1964,NR,0.038,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.038/km^2. Average pack size was not significantly different between regions. Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". ""extraterritorial movement was not recorded, possibly because a migratory deer population was not present to draw wolves beyond established territories."" Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",333,NR,NR,NR,NR,NR,,,,,,,
,Forbes 1996,Algonquin Park B,AGP-B,FOS96AGP-B,-78.41339,45.52724,None given ,1987,1992,Ontario,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1630,NR,0.04,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.040/km^2. Average pack size was not significantly different between regions. Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",333,NR,NR,NR,NR,NR,,,,,,,
,Forbes 1996,Algonquin Park C,AGP-C,FOS96AGP-C,-77.97128,45.8731,None given ,1987,1992,Ontario,Canada,NA0406,NA,4,NA04,NA,NOA,NAF,NA11,Provincial park,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2869,NR,0.052,NR,NR,NR,NR,"15 wolf packs across the 3 regions. average wolf density over 5 years = 0.052/km^2. Average pack size was not significantly different between regions. ""Algonquin wolf is one of the smallest subspecies of gray wolf (average male= 29 kg (authors unpublished data) and ""significanlly smaller than other wolves in the Great Lakes region"". ""In 1990-1991 and 1991 -1992, 8 of the 10 region C wolf packs (80 % ) spent extended periods, ranging from several days to months, outside of natal territories (Forbes and Theberge 1995). This wolf movement was related to the seasonal emigration of park deer to a deer yard located 15 km from the park."" Declines in wolf numbers between 1960-1970s, possibly due to deer decline but wolf mortality was also high at this time.",None mentioned,2,"Moose (Alces alces), white-tailed deer (Odocoileus virginianus)","Yes - ""common and widespread""",333,NR,NR,NR,NR,NR,,,,,,,
,Gazzola 2005,Greater Susa Valley Area,GSV,GAA05GSV,6.84344,45.06031,"45°05'N, 7°E",1999,2002,,Italy,PA0501,PA,5,PA05,PA,WEE,EMF,PA13,,,,,,,,,,,,475,,,,,,,,,,,,689,,,,,,,,,,,,
"All wild cervids except chamois were extirpated from area during WW2 . Reintroduced in 1962 and sufficiently restored to allow hunting again in 1985. Livestock present, flocks of sheep and goats and herds of cows free range",Gazzola 2007,Alta Valle di Susa,AVS,GAA07AVS,6.85121,45.06231,"45°05'N, 7°00'E",2000,2003,Turin Province,Italy,PA0501,PA,5,PA05,PA,WEE,EMF,PA13,Implied some areas are,NR,NR,NR,NR,NR,NR,Oct/Nov-Apr/May,800,3300,800-3300,523,0.017-0.029,NR,7-15,2,2-9,"4.58 (exluding pups), 5.58 (withe pups)","Number of wolves ranged 7-15 (1.7–2.9 wolves/100 km2). Pop went down to 100 individuals in 1970, legal protection since 1972, and setting up protected areas and restocking wild ungulates. 2 packs verified in area during study period: Gran Bosco pack and Bardonecchia pack. Snow tracking and howling techniques to evaluate wolf status, highest number of wolves per pack recorded was the value used for that season. ""The largest number of wolves of each wolf pack was accepted as the size of the wolf pack in a given season (following Jedrzejewski et al. 2000)"". Based on data from Italy average weight of wolves >1 year = 32kg, <1 year in summer = 16kg",Flocks of sheep and goats and herds of cows are freeranging on high pastures from May to October and are stabled in the valley during the rest of the year.,6,"Chamois (Rupicapra rupicapra), roe deer (Capreolus capreolus), red deer (Cervus elaphus), wild boar (Sus scrofa), alpine ibex (Capra ibex) and moufflon (Ovis orientalis musimon).",UK,689,NR,NR,NR,NR,NR,,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area. ",Guimarães 2022,Pol'ana Protected Landscape Area (Pol’ana PLA),PAP,GUS22PAP,19.45096,48.65851,"N48˚40’, E19˚28’",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,yes - restricted agriculture and forestry activities,6.9,-3,18.3,,1120,>20 (over 50.5% of area),,338,1458,338-1458,425,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.","Extensive grazing by highly abundant sheep, cattle, and goat. highest livestock density of the four areas",3,"Red deer, Roe deer, Wild boar",No,674,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area.",Guimarães 2022,Vepor Mountains,VPM,GUS22VPM,19.72421,48.63639,"N48˚38’, E19˚44’",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,no - exploited for agriculture and forestry,7,-3,18,,1112,> 20 (over 44.7% of area),,338,1322,338-1322,225,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.","Extensive grazing by highly abundant sheep, cattle, and goat",3,"Red deer, Roe deer, Wild boar",No,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area. ",Guimarães 2022,Muráň Plateau National Park (Muráň Plateau NP),MRP,GUS22MRP,19.99116,48.7369,"N48˚45’, E20˚0’",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,yes - restricted agriculture and forestry activities,6.7,-3.7,17.5,,965,> 20 (over 48% of area),,335,1439,335-1439,600,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.","Extensive grazing by highly abundant sheep, cattle, and goat",3,"Red deer, Roe deer, Wild boar",Yes - occasional,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area.",Guimarães 2022,Poloniny National Park (Poloniny NP),PNP,GUS22PNP,22.27232,49.07672,"N49˚06’, E 22˚17'",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,yes - minimal agriculture and forestry activities,7,-3.4,18,,725,> 20 (over 42.2% of area),,338,1150,338-1150,125,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.",Restricted agricultural activities but cattle sheep and goats still abundant and grazing. lowest livestock densities of the four areas,4,"Red deer, Roe deer, Wild boar, European bison (Bison bonasus)",Yes - steady,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
